MAE,MSE,MFN,MAPE
9.546109,14.647897,6.542182e-07,0.07631546
10.371137,16.39752,7.202935e-07,0.08184871
9.631124,14.718316,6.5695264e-07,0.07675153
10.330356,15.92834,7.026981e-07,0.084091045
9.76052,14.598473,6.5925474e-07,0.07886916
9.05144,14.243784,6.8795356e-07,0.07423168
9.836537,14.79408,6.575963e-07,0.079420105
10.626503,16.469833,7.136303e-07,0.085736126
9.401719,14.41446,6.553081e-07,0.07526761
10.492646,16.20498,7.0748945e-07,0.0847377
9.4576,14.365663,6.5639034e-07,0.07607209
9.774538,15.391897,7.060492e-07,0.07840635
9.472426,14.445829,6.548169e-07,0.07611939
9.874794,15.470887,7.0388376e-07,0.07956295
9.3159685,14.139386,6.560458e-07,0.07542441
9.40025,14.788841,6.992844e-07,0.07617744
9.234572,14.096329,6.549857e-07,0.074642524
9.13063,14.297814,6.905867e-07,0.07448869
9.543193,14.515252,6.5822206e-07,0.07669632
9.451882,14.680605,6.9026515e-07,0.07725204
9.530467,14.463154,6.5810343e-07,0.07642308
9.413647,14.796392,6.957214e-07,0.07619604
9.261768,14.154796,6.543767e-07,0.07488794
9.425903,14.85258,6.9706294e-07,0.07602468
9.3513775,14.25912,6.5581145e-07,0.075247146
9.252192,14.507147,6.9345225e-07,0.07528454
9.340922,14.156216,6.564489e-07,0.07564833
8.870715,13.8682575,6.875767e-07,0.07270786
9.229179,14.428621,6.8769276e-07,0.075297974
9.368857,14.251817,6.576523e-07,0.07548712
9.272455,14.31031,6.61529e-07,0.07283016
9.383222,14.627674,6.889512e-07,0.07647826
9.377365,14.550909,6.849054e-07,0.076585904
9.151759,13.890053,6.5794836e-07,0.07359604
8.925896,13.811605,6.6001104e-07,0.07034708
9.372098,14.715709,6.938688e-07,0.076271236
9.374936,14.789184,6.9679277e-07,0.076136075
9.200915,14.128135,6.559995e-07,0.0741302
9.146809,14.185743,6.5881517e-07,0.0717993
8.843682,13.797436,6.850819e-07,0.07269361
8.897795,13.868935,6.806388e-07,0.07318839
9.319049,14.250163,6.57352e-07,0.074927755
9.08375,14.048834,6.6101154e-07,0.0715213
9.013204,14.170744,6.9061866e-07,0.07339577
8.787319,13.760803,6.8211483e-07,0.071988314
9.143299,13.951414,6.581494e-07,0.07358321
9.158758,14.135319,6.6043515e-07,0.07208849
9.183344,14.422731,6.9381537e-07,0.07484212
9.316187,14.384973,6.816208e-07,0.07650272
9.399567,14.35169,6.569689e-07,0.07569447
9.026808,13.930077,6.6058493e-07,0.07131067
8.96436,13.965655,6.8672114e-07,0.07362802
9.131609,14.150862,6.7957745e-07,0.07479189
9.081028,13.8533325,6.5772576e-07,0.07318699
9.464906,14.611451,6.6301277e-07,0.07425964
8.495128,13.188926,6.7778393e-07,0.0702896
8.737278,13.56573,6.73731e-07,0.07193055
9.276691,14.035847,6.6062256e-07,0.07473143
9.278251,14.305413,6.621351e-07,0.07298111
8.871665,13.802123,6.8321714e-07,0.07259603
9.173881,14.329529,6.874266e-07,0.0746515
9.3840685,14.266706,6.5805233e-07,0.07594138
9.312236,14.377109,6.634076e-07,0.07280543
8.613877,13.386244,6.8235903e-07,0.070922464
9.129979,14.205656,6.8632494e-07,0.07494948
9.233503,14.074673,6.5833603e-07,0.074576944
9.174127,14.08396,6.650847e-07,0.0723193
9.052384,14.244762,6.9602015e-07,0.0734875
9.207614,14.381164,6.891646e-07,0.07499897
9.145969,13.940654,6.581311e-07,0.074360885
9.208785,14.166141,6.646154e-07,0.07252447
8.890555,13.866618,6.896969e-07,0.07268787
8.957148,13.883822,6.79225e-07,0.07327498
8.876723,13.500542,6.600931e-07,0.07174681
9.227631,14.167979,6.6552076e-07,0.0726535
8.714491,13.480673,6.8047416e-07,0.07168063
8.818624,13.723695,6.803075e-07,0.07214832
9.076192,13.808791,6.6012086e-07,0.073249154
9.007967,13.890779,6.6269314e-07,0.07111506
8.617232,13.370177,6.791759e-07,0.07070954
9.037069,14.219174,6.904589e-07,0.07324958
9.216522,14.040685,6.590779e-07,0.074431226
8.93632,13.800915,6.6008886e-07,0.070969604
8.516693,13.383707,6.847087e-07,0.06981816
8.75853,13.757413,6.8776825e-07,0.07156417
9.227899,14.084978,6.5942254e-07,0.07474354
9.178954,14.038902,6.667431e-07,0.07249223
8.786835,13.611655,6.845903e-07,0.07224531
8.753493,13.642028,6.8033415e-07,0.07158574
8.899467,13.477114,6.608132e-07,0.07229858
8.886835,13.671762,6.642836e-07,0.07064871
8.5427475,13.25827,6.8256486e-07,0.07039625
9.025625,14.097277,6.873891e-07,0.073613584
9.022597,13.749616,6.578156e-07,0.073543526
9.135269,14.01137,6.6513763e-07,0.07209311
8.816107,13.763904,6.8746294e-07,0.07197215
8.996051,14.051749,6.845938e-07,0.073307864
9.10539,13.800986,6.61904e-07,0.07371866
8.807201,13.560255,6.6281075e-07,0.07009229
8.316616,12.825032,6.7233594e-07,0.06912109
9.004455,14.070064,6.8899897e-07,0.07331293
8.947007,13.601223,6.6065394e-07,0.07202997
8.709849,13.396714,6.627467e-07,0.0693761
8.278897,12.727122,6.7078025e-07,0.06897531
8.758657,13.676794,6.8437504e-07,0.07157685
8.884753,13.518415,6.584265e-07,0.0719027
9.197602,14.083095,6.6603457e-07,0.07255963
8.211633,12.715431,6.7475446e-07,0.06804254
8.955516,14.104864,6.946315e-07,0.07288677
8.913981,13.610879,6.5891925e-07,0.07218822
9.101654,13.922297,6.6839056e-07,0.071968764
8.252606,12.759524,6.7306377e-07,0.06856564
8.763092,13.639714,6.7953704e-07,0.071570285
8.990166,13.603437,6.6039627e-07,0.07274023
9.011371,13.850202,6.636671e-07,0.07137409
8.288627,12.8966,6.7552617e-07,0.068623856
9.072584,14.169299,6.9081085e-07,0.073962964
9.10705,13.795081,6.604829e-07,0.07420139
8.801677,13.504177,6.659064e-07,0.06996927
8.517389,13.246174,6.822543e-07,0.070039496
8.666953,13.479616,6.7672124e-07,0.0710698
9.0528965,13.680107,6.627104e-07,0.0733157
8.860295,13.610539,6.644082e-07,0.07044123
8.216715,12.703582,6.752291e-07,0.06856481
8.717344,13.58899,6.813089e-07,0.07141795
8.974365,13.544,6.6187766e-07,0.07260139
8.872422,13.654747,6.609469e-07,0.0705254
8.542486,13.284196,6.819458e-07,0.07035117
8.656577,13.492691,6.7977135e-07,0.07071872
8.932909,13.539389,6.5977446e-07,0.07266161
8.988411,13.796778,6.635988e-07,0.07138464
8.446621,13.0932045,6.7994654e-07,0.06976293
8.6009445,13.388066,6.790585e-07,0.07065454
8.857932,13.399715,6.6178035e-07,0.0717431
8.721633,13.432434,6.6452543e-07,0.0695807
8.385915,13.070785,6.829888e-07,0.068949655
8.949719,13.982336,6.9031205e-07,0.0729632
8.90167,13.528405,6.595778e-07,0.07254354
8.669159,13.3539295,6.651222e-07,0.069287166
8.183303,12.602986,6.708203e-07,0.06841642
8.978326,13.921066,6.8355206e-07,0.07330973
8.753438,13.225524,6.635374e-07,0.070815675
8.877444,13.654928,6.6333496e-07,0.07056589
7.9680147,12.212269,6.6444227e-07,0.06603411
8.609204,13.449143,6.837027e-07,0.07061167
8.923055,13.514183,6.634275e-07,0.07214729
8.835537,13.551377,6.65739e-07,0.070238635
8.045507,12.42467,6.695935e-07,0.06690995
9.062702,14.132739,6.906537e-07,0.07375633
9.030302,13.690166,6.6146845e-07,0.073348925
9.036379,13.84301,6.656945e-07,0.07171316
8.155559,12.581754,6.69837e-07,0.06768867
8.813356,13.801156,6.89749e-07,0.07156637
8.826353,13.426882,6.621224e-07,0.07144293
8.805867,13.585865,6.632825e-07,0.07016044
8.023116,12.401024,6.7067435e-07,0.06636226
8.946133,13.986638,6.9078084e-07,0.07283952
9.010667,13.676975,6.615486e-07,0.07290611
8.862888,13.564487,6.683967e-07,0.07050487
8.075854,12.481808,6.7163586e-07,0.06682431
8.964677,13.920106,6.87342e-07,0.07312532
9.055574,13.70606,6.643232e-07,0.073110186
8.731991,13.428276,6.6385627e-07,0.06983046
8.169464,12.659562,6.7314386e-07,0.06760712
9.017027,14.040552,6.8802257e-07,0.07305616
8.920078,13.44085,6.6509597e-07,0.0723039
8.712153,13.428294,6.638771e-07,0.06970752
8.120029,12.524411,6.693984e-07,0.06749519
8.805527,13.701573,6.8441454e-07,0.07176193
8.852716,13.350149,6.645034e-07,0.07201273
8.7636,13.521977,6.6451884e-07,0.06985034
8.110887,12.5246725,6.7005277e-07,0.067521974
8.661609,13.45094,6.831658e-07,0.07104383
8.861685,13.477408,6.615964e-07,0.071979634
8.787009,13.483167,6.675509e-07,0.07019964
8.258453,12.794941,6.7542055e-07,0.068198174
8.593254,13.419033,6.844167e-07,0.07029384
8.710297,13.223391,6.623766e-07,0.07052123
8.7339945,13.388158,6.683475e-07,0.07002651
8.21309,12.770031,6.7794764e-07,0.06793896
8.743493,13.742651,6.908531e-07,0.07094267
8.716353,13.3203335,6.5977e-07,0.070629835
8.696864,13.3737755,6.680311e-07,0.069439396
8.151721,12.593984,6.727557e-07,0.06774929
8.730587,13.699341,6.8874164e-07,0.070834436
8.804023,13.414743,6.627135e-07,0.07127
8.685256,13.334588,6.6737437e-07,0.06942216
8.054423,12.473624,6.739338e-07,0.0666615
8.845278,13.846534,6.9187007e-07,0.0720119
8.778224,13.392807,6.6056816e-07,0.07129851
8.565788,13.249227,6.6330256e-07,0.06866751
8.093337,12.518502,6.7305166e-07,0.06728803
8.578872,13.306209,6.811326e-07,0.07042116
8.992141,13.57105,6.651885e-07,0.07297299
8.705016,13.40119,6.6600415e-07,0.06949633
7.9861937,12.29455,6.6895126e-07,0.06615713
8.843324,13.7801285,6.878929e-07,0.07194608
8.746299,13.206827,6.658325e-07,0.070801124
8.660466,13.300596,6.675935e-07,0.06915021
8.25631,12.797569,6.7656265e-07,0.06822704
8.797232,13.729846,6.896839e-07,0.071510874
8.867173,13.33407,6.6638864e-07,0.07207915
8.653794,13.31133,6.6832945e-07,0.069372065
7.9789066,12.249871,6.685277e-07,0.06633097
8.742001,13.596121,6.8585393e-07,0.0717678
8.73773,13.2232065,6.6401225e-07,0.071286984
8.480246,13.038021,6.6670293e-07,0.06813306
7.9907703,12.3065,6.700119e-07,0.066141196
8.751854,13.713951,6.885172e-07,0.07105473
8.6933,13.208143,6.6394097e-07,0.07047359
8.716216,13.403789,6.668035e-07,0.069656596
7.947101,12.217958,6.6893307e-07,0.06575856
8.59444,13.428205,6.8790706e-07,0.07016412
8.788848,13.226085,6.678642e-07,0.07177879
8.662916,13.352414,6.6619066e-07,0.06929851
8.034685,12.422794,6.72218e-07,0.06660994
8.756846,13.602586,6.853297e-07,0.07155959
8.796851,13.392798,6.6478094e-07,0.07106504
8.524218,13.121459,6.676976e-07,0.06836163
7.966929,12.293999,6.69919e-07,0.06585365
8.663945,13.51653,6.857278e-07,0.07063215
8.969586,13.569046,6.6527684e-07,0.072502255
8.764469,13.448751,6.6718604e-07,0.07014349
8.1702,12.659596,6.742408e-07,0.06765556
8.470632,13.178754,6.7857394e-07,0.06921305
8.871665,13.386942,6.6484756e-07,0.07230969
8.552391,13.124501,6.7002077e-07,0.06856155
8.192959,12.711012,6.785558e-07,0.06803635
8.820756,13.707217,6.874262e-07,0.07213407
8.791416,13.313967,6.647166e-07,0.07131087
8.413956,12.952523,6.6820616e-07,0.06779863
7.9733977,12.309468,6.743557e-07,0.06617629
8.52154,13.277631,6.8374385e-07,0.06972069
8.790371,13.387409,6.652753e-07,0.07106805
8.759267,13.415347,6.70361e-07,0.06998557
7.9854364,12.259971,6.697044e-07,0.06627795
8.695846,13.500214,6.8474435e-07,0.07098129
8.625065,13.019506,6.704043e-07,0.06981142
8.559125,13.196078,6.6660857e-07,0.06852742
7.953765,12.283133,6.699051e-07,0.06564712
8.561965,13.355667,6.8613264e-07,0.06968613
8.676716,13.15022,6.6710396e-07,0.07016398
8.745318,13.423335,6.700527e-07,0.069846325
7.9341826,12.226948,6.7214984e-07,0.06565141
8.564589,13.356219,6.8832594e-07,0.07012488
8.788165,13.235068,6.666699e-07,0.07149204
8.415029,12.990654,6.6928857e-07,0.06769577
8.003998,12.338457,6.721945e-07,0.06663931
8.556797,13.283037,6.819789e-07,0.07022342
8.655107,13.099462,6.6712784e-07,0.07020989
8.44471,12.991483,6.675951e-07,0.06785555
8.050982,12.463228,6.742678e-07,0.06663595
8.842593,13.764756,6.932119e-07,0.072056435
8.810289,13.348965,6.6754234e-07,0.071423
8.614937,13.240459,6.715405e-07,0.069033526
8.126831,12.643782,6.793991e-07,0.067186974
8.732541,13.675131,6.9356827e-07,0.071100846
8.756992,13.320628,6.6447e-07,0.07116386
8.520672,13.08762,6.7049154e-07,0.06845526
7.9649057,12.303234,6.748499e-07,0.066021346
8.741196,13.598703,6.9094665e-07,0.071367376
8.706891,13.175267,6.671729e-07,0.07057944
8.620557,13.237266,6.6914106e-07,0.069104955
8.12075,12.600055,6.7951606e-07,0.06703145
8.695694,13.448239,6.8572206e-07,0.07145142
8.75242,13.181163,6.686224e-07,0.07124527
8.452745,12.995244,6.7301045e-07,0.067855276
7.979279,12.289553,6.7375083e-07,0.0662043
8.5954485,13.341858,6.8579334e-07,0.07032895
8.741664,13.150202,6.72553e-07,0.07086924
8.708076,13.368847,6.6997444e-07,0.069621764
8.071949,12.454082,6.7303057e-07,0.066897355
8.923085,13.869625,6.9439494e-07,0.07251013
8.664968,13.088892,6.698493e-07,0.070511855
8.565428,13.195389,6.696283e-07,0.06889279
7.9445515,12.290861,6.737675e-07,0.06564128
8.777209,13.652736,6.9057097e-07,0.07161499
8.780308,13.27621,6.678205e-07,0.071602084
8.397095,12.919869,6.729345e-07,0.067613095
7.9883833,12.310762,6.7204223e-07,0.06620151
8.513729,13.24047,6.8538867e-07,0.06958321
8.773985,13.248282,6.70625e-07,0.0708479
8.4013605,12.933711,6.7104435e-07,0.06775531
8.0341,12.454048,6.738178e-07,0.06648281
8.768946,13.634065,6.889107e-07,0.07133509
8.482751,12.859939,6.693739e-07,0.06902766
8.388176,12.91669,6.714742e-07,0.067683905
7.946177,12.2382965,6.716928e-07,0.065874495
8.433136,13.1228895,6.835637e-07,0.06899951
8.587986,13.019172,6.6795695e-07,0.069934346
8.557988,13.14849,6.6924923e-07,0.06879453
7.9768887,12.317939,6.7415135e-07,0.06621748
8.820158,13.678256,6.914414e-07,0.072032906
8.681646,13.108629,6.691017e-07,0.07077353
8.3270235,12.858554,6.7206713e-07,0.06705559
8.034084,12.473394,6.768084e-07,0.06645749
8.728891,13.701569,6.941468e-07,0.0708653
8.5212555,12.951159,6.6651023e-07,0.06934803
8.421309,12.985718,6.727695e-07,0.06760093
7.9342356,12.248169,6.7128775e-07,0.06559591
8.577588,13.405088,6.907633e-07,0.07019737
8.499732,12.923274,6.659181e-07,0.06921681
8.476715,13.068138,6.6906273e-07,0.06792757
8.036686,12.44106,6.747103e-07,0.066608526
8.583988,13.3852625,6.8877205e-07,0.070336215
8.861622,13.288288,6.716735e-07,0.07226603
8.459289,12.990041,6.71023e-07,0.06800159
7.9543796,12.313323,6.758123e-07,0.06582558
8.729689,13.609745,6.9211296e-07,0.07109575
8.58578,12.965774,6.6931796e-07,0.06952939
8.323874,12.809508,6.7222214e-07,0.06709766
7.9242992,12.226263,6.7391653e-07,0.06573058
8.387492,13.022517,6.828175e-07,0.06895178
8.677301,13.13087,6.68884e-07,0.07035289
8.3829565,12.885171,6.7160147e-07,0.06759324
7.9040303,12.213447,6.719972e-07,0.065259
8.662294,13.505767,6.921195e-07,0.070694014
8.613051,12.981983,6.710576e-07,0.070235126
8.593625,13.212655,6.7163563e-07,0.068881
7.953592,12.317021,6.7356194e-07,0.06574778
8.643149,13.388992,6.8684403e-07,0.070937075
